Дата,USD_NBU,EUR_NBU,PLN_NBU,USD_NBP,EUR_NBP,UAH_NBP,Market_USD_UAH,Market_USD_PLN,Market_EUR_UAH,Market_EUR_PLN,Market_EUR_USD,Market_USD_EUR
20.01.2026 16:39,43.2522,50.7219,11.9932,3.6054,4.2279,0.0834,43.28,3.6301,50.36,4.2242,1.1637,0.8594
20.01.2026 16:43,43.2522,50.7219,11.9932,3.6054,4.2279,0.0834,43.28,3.6301,50.36,4.2242,1.1637,0.8594
20.01.2026 16:44,43.2522,50.7219,11.9932,3.6054,4.2279,0.0834,43.28,3.6301,50.36,4.2242,1.1637,0.8594
20.01.2026 21:53,43.2522,50.7219,11.9932,3.6054,4.2279,0.0834,43.28,3.6301,50.36,4.2242,1.1637,0.8594
21.01.2026 07:21,43.2522,50.7219,11.9932,3.6054,4.2279,0.0834,43.25,3.6035,50.7,4.2242,1.1723,0.853
21.01.2026 16:27,43.1759,50.6669,11.9866,3.6118,4.2271,0.0836,43.25,3.6035,50.7,4.2242,1.1723,0.853
22.01.2026 07:20,43.1759,50.6669,11.9866,3.6118,4.2271,0.0836,43.18,3.6032,50.52,4.2162,1.1701,0.8546
22.01.2026 16:23,43.1667,50.5201,12.0074,3.6028,4.2128,0.0834,43.18,3.6032,50.52,4.2162,1.1701,0.8546
23.01.2026 07:19,43.1667,50.5201,12.0074,3.6028,4.2128,0.0834,43.15,3.5839,50.63,4.2049,1.1733,0.8523
23.01.2026 16:19,43.1391,50.6539,12.0473,3.5831,4.205,0.083,43.15,3.5839,50.63,4.2049,1.1733,0.8523
24.01.2026 07:13,43.1391,50.6539,12.0473,3.5831,4.205,0.083,38.63,3.5699,45.52,4.2065,1.1783,0.8487
24.01.2026 16:14,43.1391,50.6539,12.0473,3.5831,4.205,0.083,38.63,3.5699,45.52,4.2065,1.1783,0.8487
25.01.2026 07:15,43.1391,50.6539,12.0473,3.5831,4.205,0.083,43.16,3.5742,50.81,4.2079,1.1773,0.8494
25.01.2026 16:15,43.1391,50.6539,12.0473,3.5831,4.205,0.083,43.16,3.5742,50.81,4.2079,1.1773,0.8494
26.01.2026 07:21,43.1391,50.6539,12.0473,3.5831,4.205,0.083,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:22,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:36,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:42,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:43,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:47,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:53,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:56,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 16:58,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 17:02,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 17:03,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 17:06,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 17:41,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 18:02,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 18:06,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
26.01.2026 23:12,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.14,3.5641,51.04,4.2164,1.183,0.8453
27.01.2026 07:24,43.1253,51.0647,12.134,3.5499,4.2118,0.0823,43.18,3.545,51.24,4.2066,1.1866,0.8427
27.01.2026 16:25,42.9563,51.2297,12.1883,3.5354,4.2032,0.0822,43.18,3.545,51.24,4.2066,1.1866,0.8427
28.01.2026 07:22,42.9563,51.2297,12.1883,3.5354,4.2032,0.0822,42.97,3.5117,51.4,4.2007,1.1962,0.836
28.01.2026 16:30,42.7689,51.2286,12.1918,3.5045,4.2009,0.0819,42.97,3.5117,51.4,4.2007,1.1962,0.836
29.01.2026 07:37,42.7689,51.2286,12.1918,3.5045,4.2009,0.0819,42.8,3.5133,51.23,4.2048,1.1968,0.8355
29.01.2026 16:37,42.8483,51.2423,12.1898,3.5189,4.2072,0.082,42.8,3.5133,51.23,4.2048,1.1968,0.8355
30.01.2026 07:37,42.8483,51.2423,12.1898,3.5189,4.2072,0.082,42.88,3.5167,51.3,4.2072,1.1963,0.8359
30.01.2026 16:33,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.88,3.5167,51.3,4.2072,1.1963,0.8359
31.01.2026 07:25,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.82,3.5395,50.92,4.2086,1.189,0.841
31.01.2026 16:21,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.82,3.5395,50.92,4.2086,1.189,0.841
01.02.2026 07:34,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.82,3.5409,50.94,4.2117,1.1894,0.8407
01.02.2026 16:23,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.82,3.5409,50.94,4.2117,1.1894,0.8407
01.02.2026 23:58,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.82,3.5409,50.94,4.2117,1.1894,0.8407
02.02.2026 07:46,42.8113,51.0225,12.123,3.5379,4.2131,0.0826,42.83,3.5516,50.8,4.2128,1.1862,0.843
02.02.2026 16:33,42.9697,50.9062,12.0735,3.5495,4.2106,0.0826,42.83,3.5516,50.8,4.2128,1.1862,0.843
